Va,Vb,Vc,Ia,Ib,Ic,Fault
-405.3801663,-197.23868,602.6188462,-0.292618682,0.429244305,-0.136625624,AB
-380.8156223,-184.6816841,565.4973064,-0.193539787,0.351569555,-0.158029768,AB
-315.2696717,-208.1075107,523.3771824,-0.092340049,0.270303921,-0.177963872,AB
-199.7128442,-276.9256576,476.6385018,0.001345469,0.194910982,-0.196256452,AB
-56.59979145,-369.1026192,425.7024106,0.075893261,0.136858678,-0.212751939,AB
34.25951411,-405.2862329,371.0267188,0.135139448,0.092172725,-0.227312173,AB
96.49504162,-409.5949032,313.0998616,0.188969269,0.050847855,-0.239817124,AB
157.2067051,-409.6461586,252.4394535,0.239459047,0.010706679,-0.250165727,AB
205.8941511,-395.4812666,189.5871155,0.28696327,-0.02868643,-0.25827684,AB
222.8714768,-347.973744,125.1022672,0.335763505,-0.071673769,-0.264089736,AB
205.7689328,-265.3258325,59.5568997,0.392953609,-0.125389395,-0.267564214,AB
153.535541,-147.0660231,-6.469517823,0.464755625,-0.196075097,-0.268680528,AB
85.92692712,-13.5331338,-72.39379332,0.557899106,-0.290459887,-0.267439219,AB
74.99955742,62.63480772,-137.6343651,0.665499504,-0.401638406,-0.263861098,AB
98.05005833,103.5681144,-201.6181727,0.774904537,-0.51691795,-0.257986586,AB
124.8648254,138.9181231,-263.7829484,0.881359667,-0.631484532,-0.249875135,AB
160.999998,162.5825016,-323.5824996,0.982677521,-0.743072717,-0.239604803,AB
220.8898921,159.6027973,-380.4926894,1.073811512,-0.846540078,-0.227271434,AB
303.1202594,130.895842,-434.0161014,1.147898937,-0.934911393,-0.212987543,AB
402.407921,81.27822464,-483.6861456,1.199821185,-1.002940061,-0.196881123,AB
501.1532522,27.91665651,-529.0699087,1.22497821,-1.045883785,-0.179094425,AB
535.3726565,34.39917933,-569.7718359,1.230488246,-1.070705302,-0.159782945,AB
527.0445051,78.39428762,-605.4387928,1.228664841,-1.089550907,-0.139113934,AB
508.8354356,126.9252359,-635.7606715,1.223784457,-1.106519452,-0.117265005,AB
479.0567875,181.4165665,-660.4733539,1.216816924,-1.122393957,-0.094422966,AB
426.8900614,252.4720866,-679.362148,1.210777961,-1.139995609,-0.070782353,AB
355.6601087,336.6036045,-692.2637132,1.209895817,-1.163352056,-0.046543762,AB
273.8851327,425.1820468,-699.0671795,1.216333633,-1.194421439,-0.021912194,AB
195.9302727,503.7838896,-699.7141623,1.231342997,-1.234247541,0.002904543,AB
176.4882607,517.7108764,-694.1991372,1.2465962,-1.274293398,0.027697198,AB
193.2898721,489.2812573,-682.5711294,1.249592657,-1.301849443,0.052256787,AB
211.2767717,453.654486,-664.9312577,1.236257825,-1.312634017,0.076376191,AB
228.8643361,412.567863,-641.4321991,1.20668284,-1.306534333,0.099851493,AB
254.4311473,357.8469391,-612.2780864,1.159749298,-1.282232828,0.12248353,AB
284.1753782,293.5475229,-577.7229012,1.09367635,-1.237755933,0.144079583,AB
308.7203266,229.3477088,-538.0680354,1.008945646,-1.173400625,0.164454979,AB
317.7116789,175.9473512,-493.6590301,0.907196188,-1.090630762,0.183434574,AB
266.4041692,178.4783306,-444.8824998,0.797772139,-0.99862612,0.200853981,AB
178.1049884,214.0594427,-392.1644311,0.693290186,-0.909851211,0.216561025,AB
90.14914619,245.8156921,-335.9648382,0.597857026,-0.828274089,0.230417063,AB
7.037233501,269.7368881,-276.7741216,0.510981245,-0.753279246,0.242298001,AB
-77.73241947,292.8424263,-215.1100068,0.433030007,-0.685125442,0.252095434,AB
-160.3440414,311.8572322,-151.5131908,0.36499415,-0.624711987,0.259717838,AB
-231.4023126,317.9446553,-86.54234268,0.305914608,-0.571006185,0.265091576,AB
-283.8513192,304.6200128,-20.76869369,0.253910881,-0.5220726,0.268161719,AB
-281.6078812,236.3787792,45.22910198,0.201332898,-0.470225439,0.268892542,AB
-247.8077595,136.9392077,110.8685518,0.138301443,-0.405569574,0.267268131,AB
-219.9785624,44.40866795,175.5698945,0.063503096,-0.326795895,0.263292799,AB
-203.251307,-35.50969252,238.7609995,-0.019498012,-0.237493121,0.256991134,AB
-190.6208007,-109.2605918,299.8813925,-0.107847253,-0.140560815,0.248408068,AB
